Parameter,Publication,Method,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.048,0.689,0.685,,0.07,1.156,,0.935,0.526,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.065,1.027,0.587,,0.192,1.444,,0.643,0.888,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.135,0.281,0.576,,0.454,0.701,,0.162,0.2,,1973-1993," , Region: L America; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.07,0.697,0.903,,0.1,0.615,,0.538,0.759,,1973-1993," , Region: N America; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.128,0.819,0.189,,0.195,1.101,,0.539,0.641,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.008,1.07,0.633,,1.195,0.609,,0.438,0.942,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.03,0.848,0.846,,0.674,1.286,,0.911,0.945,,1973-1993," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.097,0.159,0.125,,0.384,0.175,,0.558,0.252,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.042,0.783,0.766,,0.24,1.104,,0.743,0.512,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.084,0.888,0.539,,0.21,1.306,,0.728,0.831,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.14,0.244,0.555,,0.441,0.621,,0.165,0.185,,1973-1993," , Region: L America; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.071,0.687,0.89,,0.096,0.624,,0.562,0.763,,1973-1993," , Region: N America; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.134,0.73,0.18,,0.211,1.144,,0.71,0.628,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.006,1.03,0.695,,1.257,0.646,,0.465,1.014,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), b","Unknown, static",1.024,0.971,0.867,,0.615,1.321,,0.833,0.952,,1973-1993," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Tims (1977), a","Unknown, static",,,0.72,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Tims (1977), b","Unknown, static",,,0.859188544,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.661,,,,,,,,1950?-1982?," Refined, Region: Centrally Planned Economies; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.826,,,,,,,,1950?-1982?," Refined, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.565,,,,,,,,1950?-1982?," Refined, Region: Italy; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.808,,,,,,,,1950?-1982?," Refined, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.822,,,,,,,,1950?-1982?," Refined, Region: Ot Market Economics; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.779,,,,,,,,1950?-1982?," Refined, Region: U.K.; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.779,,,,,,,,1950?-1982?," Refined, Region: U.S.; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.748,,,,,,,,1950?-1982?," Total, Region: Germany, W; Comments from Dahl: Eq. Storage, Price, Scrap Price",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.892,,,,,,,,1950?-1982?," Total, Region: Italy; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.826,,,,,,,,1950?-1982?," Total, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.912,,,,,,,,1950?-1982?," Total, Region: Other market economies; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,1.37,,,,,,,,1950?-1982?," Total, Region: U.K; Comments from Dahl: nan",
Demand elasticity to GDP,Wagenhals (1984),"Unknown, static",,,0.461,,,,,,,,1950?-1982?," Total, Region: U.S.; Comments from Dahl: nan",
Demand elasticity to price,Banks (1972),"Unknown, long run",,,,,,,,-1.262,,,1953-1968," , Region: United States; Comments from Dahl: nan",
Demand elasticity to price,Banks (1972),"Unknown, short run",,,,,,,,-0.55,,,1953-1968," , Region: United States; Comments from Dahl: nan",
Demand elasticity to price,Bozdogan (1979),"Unknown, long run",,,-0.64,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Demand elasticity to price,Bozdogan (1979),"Unknown, short run",,,-0.47,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Demand elasticity to price,Chhabra (1978),"Unknown, long run",,,,,,,,0.41,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,Chhabra (1978),"Unknown, short run",,,,,,,,0.3,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), a","Unknown, long run",,,,,,,,1.6,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), a","Unknown, short run",,,,,,,,0.37,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), a","Unknown, static",,,,,,,,0.24,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), b","Unknown, long run",,,,,,,,0.15,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), b","Unknown, short run",,,,,,,,0.11,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), b","Unknown, static",,,,,,,,0.13,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), c","Unknown, static",,,,,,,,0.11,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), d","Unknown, static",,,,,,,,0.18,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,"Chhabra (1978), e","Unknown, static",,,,,,,,0.49,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Demand elasticity to price,Fernandez (2018),"Unknown, short run",0.789,0.367,0.678,,0.876,0.036,,,0.827,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,Fernandez (2018),"Unknown, short run",,,,,,,,0.754,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Demand elasticity to price,Fernandez (2018),"Unknown, static",-0.086,-0.333,,,,,,,,,1990-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Fernandez (2018), a","Unknown, static",-0.017,0.01,-0.014,,-0.008,-0.061,,,-0.014,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Fernandez (2018), a","Unknown, static",,,,,,,,-0.067,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Fernandez (2018), a","Unknown, static",,,-0.28,,-0.888,-0.448,,-0.486,-0.355,,1990-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Fernandez (2018), b","Unknown, static",0.005,0.029,0.088,,-0.002,-0.043,,,-0.003,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Fernandez (2018), b","Unknown, static",,,,,,,,-0.03,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Fernandez (2018), b","Unknown, static",,,-0.202,,-0.099,-0.142,,-0.255,-0.143,,1990-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Fernandez (2018), c","Unknown, static",-0.238,-0.593,,,,,,,,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,Fisher (1972),"Unknown, long run",,,-0.924808836,,,,,,,,1952-1966," , Region: Rest of World; Comments from Dahl: nan",
Demand elasticity to price,Fisher (1972),"Unknown, short run",,,-0.2177,,,,,,,,1952-1966," , Region: Rest of World; Comments from Dahl: nan",
Demand elasticity to price,"Fisher (1972), a","Unknown, long run",,,-0.808115283,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Demand elasticity to price,"Fisher (1972), a","Unknown, short run",,,-0.2131,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Demand elasticity to price,"Fisher (1972), b","Unknown, long run",,,-0.826315789,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Demand elasticity to price,"Fisher (1972), b","Unknown, short run",,,-0.1727,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Demand elasticity to price,Fisher (1981),"Unknown, long run",,-0.3049,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Demand elasticity to price,Fisher (1981),"Unknown, short run",,-0.2457,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-0.428395,,1956-1974," DieCast, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,0.0803,,1956-1974," DieCast, Region: Japan; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-0.140465,,1956-1974," DieCast, Region: U.K; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-2.062,,1956-1974," DieCast, Region: U.S; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-0.7,,1956-1974," Galvan, Region: U.K; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-0.221,,1956-1974," MakeBrass, Region: U.K; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-1.62991,,1956-1974," Oxide, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-1.2662,,1956-1974," Rolled, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-0.5959,,1960-1974," MakeBrass, Region: France; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, long run",,,,,,,,,-0.78317,,1960-1974," Rolled, Region: France; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.06807,,1956-1974," DieCast, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.03445,,1956-1974," DieCast, Region: Japan; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.028093,,1956-1974," DieCast, Region: U.K; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.2857,,1956-1974," DieCast, Region: U.S; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.14,,1956-1974," Galvan, Region: U.K; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.1104,,1956-1974," MakeBrass, Region: U.K; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-1.241,,1956-1974," Misc, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.2172,,1956-1974," Oxide, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.2265,,1956-1974," Rolled, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.09777,,1960-1974," MakeBrass, Region: France; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1979),"Unknown, short run",,,,,,,,,-0.1038,,1960-1974," Rolled, Region: France; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,0.444675988,,1956-1974," , Region: Canada; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,0.316446918,,1956-1974," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,0.283802471,,1956-1974," , Region: Mexico; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,0.616656427,,1956-1974," , Region: Peru; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,-0.00515,,1956-1974," , Region: Rest of the Developed World ; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,-0.443118,,1956-1974," , Region: Rest of the World ; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,-0.0772,,1956-1974," , Region: U.K.; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, long run",,,,,,,,,-0.980674,,1956-1974," , Region: United States; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,0.227257,,1956-1974," , Region: Canada; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,0.146932,,1956-1974," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,0.180808,,1956-1974," , Region: Mexico; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,0.365364,,1956-1974," , Region: Peru; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,-0.000515,,1956-1974," , Region: Rest of the Developed World ; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,-0.0443118,,1956-1974," , Region: Rest of the World ; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,-0.01543714,,1956-1974," , Region: U.K.; Comments from Dahl: nan",
Demand elasticity to price,Gupta (1982),"Unknown, short run",,,,,,,,,-0.1442,,1956-1974," , Region: United States; Comments from Dahl: nan",
Demand elasticity to price,Hashimoto (1981),"Unknown, static",-1,,,,,,,,,,1954-1976," , Region: Japan; Comments from Dahl: Elast average of 1070 and 1985",
Demand elasticity to price,Hashimoto (1981),"Unknown, static",-0.93,,,,,,,,,,1954-1976," , Region: U.S.; Comments from Dahl: Elast average of 1070 and 1985",
Demand elasticity to price,Hojman (1981),"Unknown, long run",,-0.59,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Demand elasticity to price,Hojman (1981),"Unknown, long run",,-0.45,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
Demand elasticity to price,Hojman (1981),"Unknown, long run",,-1.02,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Demand elasticity to price,Hojman (1981),"Unknown, long run",,-0.39,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to price,Hojman (1981),"Unknown, short run",,-0.61,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Demand elasticity to price,Hojman (1981),"Unknown, short run",,-0.42,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
Demand elasticity to price,Hojman (1981),"Unknown, short run",,-1.33,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Demand elasticity to price,Hojman (1981),"Unknown, short run",,-0.4,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to price,MacKinnon (19980),"Unknown, static",,,-0.21,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: Data not seasonally adj., lienar preferred to log",
Demand elasticity to price,"MacKinnon (19980), a","Unknown, static",,,-0.36011257,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: nan",
Demand elasticity to price,"MacKinnon (19980), b","Unknown, static",,,-0.305189493,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: nan",
Demand elasticity to price,"MacKinnon (19980), c","Unknown, static",,,-0.42,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: nan",
Demand elasticity to price,"McNicol (1975), in McNicol (1975) and Bozdogan (1979)","Unknown, long run",,,-0.77,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Demand elasticity to price,"McNicol (1975), in McNicol (1975) and Bozdogan (1979)","Unknown, short run",,,-0.326,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,-0.506,,,,,1963-1992," , Region: Argentina; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,,,,0.207,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,-0.367,,,,,,,,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,0.117,,,,,-0.1,,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,0.089,,-0.003,,,,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,,,-0.07,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,0.216,,,,,,,-0.136,,1963-1992," , Region: India; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,-0.169,,,,,,-0.185,0.218,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,0.372,,,,,,,,,1963-1992," , Region: Low Income; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,-0.205,,,0.339,,,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,0.438,,,,,,1963-1992," , Region: Pakistan; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,,,-0.253,,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,,,-0.406,,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,0.148,,,,,0.355,,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,,,,-0.318,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,,,-0.061,,,1963-1992," , Region: US and Canada; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,,,,,,-0.084,,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Demand elasticity to price,Pei (1999),"Unknown, short run",,,1.257,,,,,,,,1963-1992," , Region: Zimbabwe; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,0.231,,,0.147,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,0.784,,,,,,,,,1963-1992," , Region: Bangladesh; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,,,,,,,0.189,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,0.163,,,,,-0.082,0.166,,1963-1992," , Region: France; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,,,,,,-0.095,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,0.157,,,,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,0.08,,,,,,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,,,,,,-0.132,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,0.136,,,,,,0.13,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,0.157,,,,,,-0.359,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), a","Unknown, short run",,,,,-0.385,,,,,,1963-1992," , Region: Zambia; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,0.229,,,0.137,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,1.133,,,,,,,,,1963-1992," , Region: Bangladesh; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,,,,,,,0.177,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,0.153,,,,,-0.122,0.108,,1963-1992," , Region: France; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,,,,,,-0.164,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,0.111,,,,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,0.079,,,,,,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,,,,,,-0.134,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,0.132,,,,,,0.107,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,0.159,,,,,,-0.422,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Demand elasticity to price,"Pei (1999), b","Unknown, short run",,,,,-0.307,,,,,,1963-1992," , Region: Zambia; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, short run",-0.006,-0.005,-0.008,,-0.005,-0.055,,-0.068,-0.003,,1961-1993," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",0.1,0.105,0.065,,-0.048,-0.132,,0.036,0.111,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",0.058,0.082,0.059,,-0.04,0.036,,-0.16,0.015,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",-0.001,0.016,0.005,,-0.008,-0.08,,-0.091,-0.017,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",0.028,0.042,0.058,,-0.029,0.087,,0.126,0.043,,1973-1993," , Region: L America; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",0.068,0.175,0.042,,0.056,-0.045,,0.031,0.062,,1973-1993," , Region: N America; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",0.037,0.142,0.187,,0.093,-0.028,,0.215,0.012,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",-0.001,-0.036,-0.051,,0.105,-0.018,,-0.121,0.063,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), a","Unknown, static",-0.012,0.004,-0.025,,-0.006,-0.047,,-0.064,-0.02,,1973-1993," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, short run",-0.009,-0.019,-0.007,,-0.003,-0.058,,-0.05,-0.003,,1961-1993," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",0.1,0.106,0.068,,-0.051,-0.139,,0.078,0.111,,1973-1993," , Region: Africa; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",0.054,0.077,0.045,,-0.057,0.037,,-0.143,0.016,,1973-1993," , Region: Asia; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",0.01,0.034,0.01,,-0.008,-0.078,,-0.082,-0.008,,1973-1993," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",0.029,0.047,0.052,,-0.032,0.069,,0.128,0.044,,1973-1993," , Region: L America; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",0.069,0.177,0.04,,0.056,-0.044,,0.043,0.061,,1973-1993," , Region: N America; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",0.039,0.153,0.187,,0.095,-0.025,,0.271,0.016,,1973-1993," , Region: Oceania; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",-0.002,-0.032,-0.05,,0.107,-0.019,,-0.118,0.055,,1973-1993," , Region: USSR; Comments from Dahl: nan",
Demand elasticity to price,"Tcha (2002), b","Unknown, static",-0.013,-0.009,-0.025,,0.001,-0.049,,-0.053,-0.02,,1973-1993," , Region: World; Comments from Dahl: nan",
Demand elasticity to price,Tims (1977),"Unknown, long run",,,-0.175417661,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Demand elasticity to price,Tims (1977),"Unknown, short run",,,-0.147,,,,,,,,1955-1975," refined, Region: World; Comments from Dahl: nan",
Demand elasticity to price,Wagenhals (1984),"Unknown, static",,,-0.0814,,,,,,,,1950?-1982?," Total, Region: Germany, W; Comments from Dahl: Eq. Storage, Price, Scrap Price",
Demand elasticity to price,Wagenhals (1984),"Unknown, static",,,-0.076,,,,,,,,1950?-1982?," Total, Region: Italy; Comments from Dahl: nan",
Demand elasticity to price,Wagenhals (1984),"Unknown, static",,,-0.0972,,,,,,,,1950?-1982?," Total, Region: Japan; Comments from Dahl: nan",
Demand elasticity to price,Wagenhals (1984),"Unknown, static",,,-0.0851,,,,,,,,1950?-1982?," Total, Region: Other market economies; Comments from Dahl: nan",
Demand elasticity to price,Wagenhals (1984),"Unknown, static",,,-0.0954,,,,,,,,1950?-1982?," Total, Region: U.K; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",1.38,,,,,,,,,,~1960-1984," Ore, Region: Algeria; Comments from Dahl: nan",
Primary supply elasticity to GDP,Priovolos (1987),"Unknown, static",1.24,,,,,,,,,,~1960-1984," Ore, Region: Australia; Comments from Dahl: nan",
