Parameter,General source,Source,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn
Mine CU elasticity to TCM,Literature,"Marsh (1983), b",,,,0.898,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), b",,,,-0.46,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), b",,,,-0.519,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), c",,,,1.049,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), c",,,,-0.522,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), d",,,,0.768,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), d",,,,-0.477,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),1.36,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),1.01,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.82,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.54,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),1.03,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),1.07,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.77,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.12,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.55,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),-0.17,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.11,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),-0.07,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.3,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),-0.12,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.28,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.14,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),-0.05,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),-0.15,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),-0.05,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.18,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.27,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),-0.04,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.04,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.18,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.05,,,,,,,,
Mine CU elasticity to TCM,Literature,Priovolos (1987),0.49,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.05,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.05,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.19,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.45,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.27,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.1,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.04,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",-0.19,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",-0.31,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",-0.64,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",-0.04,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",-0.13,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",-0.1,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",-0.16,,,,,,,,
Mine CU elasticity to TCM,Literature,"Sigman (1995), a",,,,,0.167,,,,
Mine CU elasticity to TCM,Literature,"Sigman (1995), b",,,,,0.171,,,,
Mine CU elasticity to TCM,Literature,Taylor (1979),,,0.254048478597215,,,,,,
Mine CU elasticity to TCM,Literature,Wagenhals (1984),,,0.23,,,,,,
Mine CU elasticity to TCM,Literature,Wagenhals (1984),,,0.07,,,,,,
Mine CU elasticity to TCM,Literature,Wagenhals (1984),,,0.17,,,,,,
Mine CU elasticity to TCM,Literature,Wagenhals (1984),,,0.07,,,,,,
Mine CU elasticity to TCM,Literature,Wagenhals (1984),,,0.06,,,,,,
Mine CU elasticity to TCM,Literature,Wagenhals (1984),,,0.1,,,,,,
Mine cost change per year,Literature,Bartos (2007),-2.3,-2.3,-2.3,,-2.3,-2.3,,-2.3,-2.3
Mine cost change per year,Literature,"Topp (2008), a",1.9,10.4,-7.5,-2.6,2.2,10.4,2.2,,2.2
Mine cost change per year,Literature,"Topp (2008), b",-5.9,-3.8,-5,-1.1,-3.7,-3.8,-3.7,,-3.7
Mine cost change per year,Literature,"Topp (2008), c",5.5,2,2.7,5.0,6.1,2.0,6.1,,6.1
Mine cost change per year,Literature,Humphreys (),-2.4,,-3,,,,,,
Mine cost change per year,Literature,McKinsey (2015),1.6,,1.5,3.5,3.5,3.5,,,3.5
Mine cost change per year,Literature,This study,,0.56,2.12,3.54,1.43,-0.66,3.01,0.56,-0.79
Mine cost change per year,Literature,"Young (1991), a",,,-1.38,,,,,,
Mine cost change per year,Literature,"Young (1991), b",,,2.02,,,,,,
Mine cost elasticity to ore grade,Literature,Calvo et al. (2016),,,-0.366,-0.275,,,,,-0.786
Mine cost elasticity to ore grade,Literature,This study,,-0.458,-0.3163,-0.367,-0.6855,-0.5084,-0.1969,-0.458,-0.3486
Mine cost elasticity to ore grade,Literature,"Young (1991), a",,,-0.63,,,,,,
Mine cost elasticity to ore grade,Literature,"Young (1991), b",,,-0.68,,,,,,
Ore grade elasticity to COT distribution mean,Literature,Pustov et al. (2013),3.0,,,,,,,,
Ore grade elasticity to COT distribution mean,Literature,Calvo et al. (2016),,,2.3,,,,,,
Ore grade elasticity to COT distribution mean,Literature,"This study, a",,,1.53,4.91,0.51,-1.95,0.095,,1.25
Ore grade elasticity to COT distribution mean,Literature,"This study, b",,,0.65,2.55,3.48,1.16,0.91,,2.36
Ore grade elasticity to COT distribution mean,Literature,"This study, c",,,0.098,0.29,-0.13,0.11,0.19,,0.1
Primary refinery CU elasticity to TCRC,Literature,Fu (2019),,,0.057,,,,,,
Refined price elasticity to SD,Literature,Fu (2019),,,-0.461,,,,,,
Refined price elasticity to SD,Literature,"Chhabra (1979), e",,,,,,,,-0.302,
Refinery SR elasticity to TCRC,Literature,Fu (2019),,,-0.197,,,,,,
Refinery SR elasticity to scrap spread,Literature,Fu (2019),,,0.316,,,,,,
Scrap spread elasticity to SD,Literature,Fu (2019),,,0.0845,,,,,,
Scrap spread elasticity to price,Literature,Fu (2019),,,0.184,,,,,,
Scrap spread elasticity to price,Literature,"Xiarchos (2009), a - scrap price",,,0.603,,0.621,,,,0.92
Secondary refinery CU elasticity to TCRC,Literature,Fu (2019),,,0.153,,,,,,
TCRC elasticity to SD,Literature,Fu (2019),,,0.164,,,,,,
