,,,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,1.21,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,0.08,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,0.56,,,,,,,,,1965-1977," , Region: Sweden; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,0.21,,,,,,,,,1965-1977," , Region: United Kingdom; Comments from Dahl: nan",
Supply elasticity to GDPPC,"Hojman (1981), a","Unknown, static",,1.03,,,,,,,,,1965-1977," , Region: Australia; Comments from Dahl: nan",
Supply elasticity to GDPPC,"Hojman (1981), a","Unknown, static",,0.83,,,,,,,,,1965-1977," , Region: Total; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,-0.04,,,,,,,,,1965-1977," , Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,0.96,,,,,,,,,1965-1977," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,0.29,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,0.46,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,0.7,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,0.06,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,0.17,,,,,,,,,1965-1977," , Region: Sweden; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), b - from demand","Unknown, static",,0.91,,,,,,,,,1965-1977," , Region: United Kingdom; Comments from Dahl: nan",
Supply elasticity to GDPPC,"Hojman (1981), b","Unknown, static",,2.85,,,,,,,,,1965-1977," , Region: Australia; Comments from Dahl: nan",
Supply elasticity to GDPPC,"Hojman (1981), b","Unknown, static",,1.37,,,,,,,,,1965-1977," , Region: Total; Comments from Dahl: nan",
Mine cost change per year,Humphreys (2020),"Unknown, ask Karan what this source was",-2.4,,-3,,,,,,,,1860-2011,Labor productivity only,
Collection elasticity to scrap price,Intarapravich (1989),Unknown,,,0.075,,,,,,,,,"As referenced in Gomez (2007), dissertation not immediately available",
Mine CU elasticity to TCM,"Labson (1995), a","Partial adjustment model, short run",0.3,,,,,,,,,17,1972-1992,For Australia iron ore production,
Mine CU elasticity to TCM,"Labson (1995), b","Partial adjustment model, short run",0.26,,,,,,,,,17,1972-1992,For Brazil iron ore production,
Mine CU elasticity to TCM,"Labson (1995), c","Partial adjustment model, short run",0.13,,,,,,,,,17,1972-1992,For China iron ore production,
Mine CU elasticity to TCM,"Labson (1995), d","Partial adjustment model, short run",0.1,,,,,,,,,17,1972-1992,For India iron ore production,
Mine CU elasticity to TCM,"Labson (1995), e","Partial adjustment model, short run",0.04,,,,,,,,,17,1972-1992,For Eastern Europe iron ore production,
Mine CU elasticity to TCM,"Labson (1995), f","Partial adjustment model, short run",0.04,,,,,,,,,17,1972-1992,For North America iron ore production,
Mine CU elasticity to TCM,"Labson (1995), g","Partial adjustment model, long run",0.43,,,,,,,,,17,1972-1992,For Australia iron ore production,
Mine CU elasticity to TCM,"Labson (1995), h","Partial adjustment model, long run",0.66,,,,,,,,,17,1972-1992,For Brazil iron ore production,
Mine CU elasticity to TCM,"Labson (1995), i","Partial adjustment model, long run",0.85,,,,,,,,,17,1972-1992,For China iron ore production,
Mine CU elasticity to TCM,"Labson (1995), j","Partial adjustment model, long run",0.72,,,,,,,,,17,1972-1992,For India iron ore production,
Mine CU elasticity to TCM,"Labson (1995), k","Partial adjustment model, long run",0.21,,,,,,,,,17,1972-1992,For Eastern Europe iron ore production,
Mine CU elasticity to TCM,"Labson (1995), l","Partial adjustment model, long run",0.04,,,,,,,,,17,1972-1992,For North America iron ore production,
Intensity elasticity to price,MacKinnon (1980) - from demand,"Unknown, static",,,-0.21,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: Data not seasonally adj., lienar preferred to log",
Intensity elasticity to price,MacKinnon (1980) - from demand,"Unknown, static",,,-0.36011257,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,MacKinnon (1980) - from demand,"Unknown, static",,,-0.305189493,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,MacKinnon (1980) - from demand,"Unknown, static",,,-0.42,,,,,,,,1947-1974," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Marsh (1983),"Unknown, long run",,,,0.708,,,,,,,nan-1975," , Region: S. Africa_15 mines; Comments from Dahl: Short run from production estimates at dif prices, long run from reserve estimates at different prices",
Mine CU elasticity to TCM,Marsh (1983),"Unknown, short run",,,,-0.422,,,,,,,nan-1975," , Region: S. Africa_15 mines; Comments from Dahl: Short run from production estimates at dif prices, long run from reserve estimates at different prices",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, long run",,,,0.223,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, long run",,,,0.965,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, short run",,,,-0.283,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), a","Unknown, short run",,,,-0.446,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, long run",,,,0.234,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, long run",,,,0.898,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, short run",,,,-0.46,,,,,,,1975-1975," , Region: S. Africa<15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), b","Unknown, short run",,,,-0.519,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), c","Unknown, long run",,,,1.049,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), c","Unknown, short run",,,,-0.522,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), d","Unknown, long run",,,,0.768,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Marsh (1983), d","Unknown, short run",,,,-0.477,,,,,,,1975-1975," , Region: S. Africa_15 mines; Comments from Dahl: nan",
Mine cost change per year,Lala (2014),MineLens Productivity Index,1.6,,1.5,3.5,3.5,3.5,,,3.5,,2009-2013,"Includes ore grade adjustment; gold, lead, nickel, and zinc use the average value of 3.5% decline in productivity (2004-2013), others use values from Exhibit 3, PGMs given as 4.5% productivity decline/year",
Intensity elasticity to price,"McNicol (1975), in McNicol (1975) and Bozdogan (1979) - from demand","Unknown, long run",,,-0.77,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Intensity elasticity to price,"McNicol (1975), in McNicol (1975) and Bozdogan (1979) - from demand","Unknown, short run",,,-0.326,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Intensity elasticity to GDPPC,"McNicol (1975), in McNicol (1975) and Bozdogan (1979), a - from demand","Unknown, static",,,-0.56,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Intensity elasticity to GDPPC,"McNicol (1975), in McNicol (1975) and Bozdogan (1979), b - from demand","Unknown, static",,,0.06,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,1.961,,,,1.133,,1963-1992," , Region: Argentina; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,-0.68,,,,,-2.337,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,0.045,,,-0.661,,,,-0.276,,1963-1992," , Region: Austria; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,0.208,,0.833,,,,1.041,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,-0.597,,,,,-0.208,-0.427,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,-0.424,,-0.757,0.103,,0.085,,,1963-1992," , Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,-0.671,,,,-0.347,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,1.372,,,,,,1963-1992," , Region: Greece; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,-0.43,,,,,,0.624,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,-0.341,,,-1.471,-0.515,,1963-1992," , Region: India; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,1.194,,,1.213,1.186,,0.326,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,-0.53,,,,,,0.819,0.632,,1963-1992," , Region: Japan and Australia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,-0.538,,,,-0.398,,0.591,0.913,,1963-1992," , Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,-0.008,,,,,,1.158,0.419,,1963-1992," , Region: Korea; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,0.86,,,-0.767,0.671,,,,,1963-1992," , Region: Mexico; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,,,,,-0.821,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,0.151,0.412,,,,,,-0.427,,1963-1992," , Region: Netherlands; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,0.949,,,-1.806,,,1963-1992," , Region: Pakistan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,1.227,,,,,,1.273,,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,0.134,,,,,,,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,1.007,,,,,,,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,,,,,1.165,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,-0.042,-0.578,,-0.267,-0.014,,-1.308,,,1963-1992," , Region: U.S. and Canada; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,0.633,1.203,,0.913,,,1963-1992," , Region: US and Canada; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,0.419,,,1.919,,0.164,1.509,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Pei (1999) - from demand,"Unknown, static",,,,,,0.82,,,,,1963-1992," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,-0.506,,,,,1963-1992," , Region: Argentina; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,,0.207,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,-0.367,,,,,,,,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,0.117,,,,,-0.1,,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,0.089,,-0.003,,,,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,-0.07,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,0.216,,,,,,,-0.136,,1963-1992," , Region: India; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,-0.169,,,,,,-0.185,0.218,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,0.372,,,,,,,,,1963-1992," , Region: Low Income; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,-0.205,,,0.339,,,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,0.438,,,,,,1963-1992," , Region: Pakistan; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,-0.253,,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,-0.406,,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,0.148,,,,,0.355,,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,,-0.318,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,-0.061,,,1963-1992," , Region: US and Canada; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,,,,,,-0.084,,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Intensity elasticity to price,Pei (1999) - from demand,"Unknown, short run",,,1.257,,,,,,,,1963-1992," , Region: Zimbabwe; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,0.398,,,,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,0.351,,,0.213,1.675,,-0.258,0.116,,1963-1992," , Region: Brazil; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,-0.423,,,,,,,,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,0.74,,,-0.565,-0.014,,,,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,0.333,,,,,,,-0.533,,1963-1992," , Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,0.194,-0.507,,,0.85,,-0.7,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,1.62,0.206,,,,,,-0.208,,1963-1992," , Region: Greece; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,-0.243,,,-0.513,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,-0.412,,,,,,,,1963-1992," , Region: India; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,0.763,,,,,,,,,1963-1992," , Region: Indonesia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,-0.344,,,,,,0.302,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,-0.333,,,,,,,,1963-1992," , Region: Japan and Australia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,0.07,,,,,,,,1963-1992," , Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,,,-0.756,,,,,,1963-1992," , Region: Low Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,0.156,,,,,,0.329,,1963-1992," , Region: Mexico; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,,,,-0.166,,-0.388,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,,,0.301,,,,0.121,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,,,,0.142,,-1.812,-0.515,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,-0.41,,,-0.448,,,-0.317,-0.538,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,1.316,,,,,,,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,-0.437,,,,,,,,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), a - from demand","Unknown, static",,,-0.722,,,,,-1.336,,,1963-1992," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,0.231,,,0.147,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,0.784,,,,,,,,,1963-1992," , Region: Bangladesh; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,,,,,0.189,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.163,,,,,-0.082,0.166,,1963-1992," , Region: France; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,,,,-0.095,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.157,,,,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.08,,,,,,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,,,,-0.132,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,0.136,,,,,,0.13,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,0.157,,,,,,-0.359,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), a - from demand","Unknown, short run",,,,,-0.385,,,,,,1963-1992," , Region: Zambia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,0.578,,,,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,0.454,,,0.627,1.661,,0.343,0.338,,1963-1992," , Region: Brazil; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,1.014,,,,,,,,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,1.135,,,-0.045,0.527,,,,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,0.684,,,,,,,0.765,,1963-1992," , Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,1.674,0.637,,,0.82,,0.279,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,1.772,0.23,,,,,,0.151,,1963-1992," , Region: Greece; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,1.08,,,1.738,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,0.946,,,,,,,,1963-1992," , Region: India; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,0.242,,,,,,,,,1963-1992," , Region: Indonesia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,-0.329,,,,,,1.455,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,0.966,,,,,,,,1963-1992," , Region: Japan and Australia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,1.698,,,,,,,,1963-1992," , Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,,,-0.73,,,,,,1963-1992," , Region: Low Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,-0.015,,,,,,-0.295,,1963-1992," , Region: Mexico; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,,,,-0.094,,-0.38,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,,,-0.031,,,,0.079,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,,,,1.355,,1.793,0.501,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,1.586,,,-0.216,,,0.515,1.46,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,1.381,,,,,,,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,0.781,,,,,,,,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Pei (1999), b - from demand","Unknown, static",,,1.616,,,,,1.241,,,1963-1992," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,0.229,,,0.137,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,1.133,,,,,,,,,1963-1992," , Region: Bangladesh; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,,,,,0.177,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.153,,,,,-0.122,0.108,,1963-1992," , Region: France; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,,,,-0.164,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.111,,,,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.079,,,,,,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,,,,-0.134,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,0.132,,,,,,0.107,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,0.159,,,,,,-0.422,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Intensity elasticity to price,"Pei (1999), b - from demand","Unknown, short run",,,,,-0.307,,,,,,1963-1992," , Region: Zambia; Comments from Dahl: nan",
Intensity elasticity to price,"Pei and Tilton (1999), a - from demand","Partial adjustment model, high income countries",,-0.02,0.02,,0.06,-0.03,,-0.03,0.01,25,1963-1992,,
Intensity elasticity to GDPPC,"Pei and Tilton (1999), a - from demand","Partial adjustment model, high income countries",,1.21,0.31,,-0.33,0.88,,0.74,0.79,25,1963-1992,,
Intensity elasticity to time,"Pei and Tilton (1999), a - from demand","Partial adjustment model, high income countries",,-0.03,-0.04,,-0.01,-0.03,,-0.06,-0.04,25,1963-1992,,
Intensity elasticity to price,"Pei and Tilton (1999), b - from demand","Partial adjustment model, low income countries",,0.317,0.188,,-0.023,-0.151,,-0.151,0.318,25,1963-1992,,
Intensity elasticity to GDPPC,"Pei and Tilton (1999), b - from demand","Partial adjustment model, low income countries",,-0.122,-0.994,,-0.535,0.156,,-0.452,-1.995,25,1963-1992,,
Intensity elasticity to time,"Pei and Tilton (1999), b - from demand","Partial adjustment model, low income countries",,0.152,0.097,,0.042,0.001,,0.001,0.02,25,1963-1992,,
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",1.38,,,,,,,,,,~1960-1984," Ore, Region: Algeria; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",1.24,,,,,,,,,,~1960-1984," Ore, Region: Australia; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.63,,,,,,,,,,~1960-1984," Ore, Region: Belgium; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.59,,,,,,,,,,~1960-1984," Ore, Region: Brazil; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",2.19,,,,,,,,,,~1960-1984," Ore, Region: Canada; Comments from Dahl: nan",
Primary supply elasticity to GDPPC,Priovolos (1987),"Unknown, static",0.41,,,,,,,,,,~1960-1984," Ore, Region: Chile; Comments from Dahl: nan",
